Building Type,New Building,Elevator,Number of Floors,Total Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Price,District
Monolith,Yes,Available,18,98.0,4.0,1.0,3.0,4.0,Open Balcony,Available,Capital Renovated,180000.0,Arabkir
Panel,No,Available,7,77.0,3.0,1.0,2.8,7.0,Not Available,Available,Capital Renovated,230000.0,Kentron
Monolith,Yes,Available,5,89.0,3.0,1.0,3.0,4.0,Open Balcony,Available,Capital Renovated,170000.0,Davtashen
Stone,No,Not Available,5,76.0,3.0,2.0,2.8,4.0,Closed Balcony,Not Available,Capital Renovated,150000.0,Arabkir
Panel,No,Available,9,43.0,1.0,1.0,2.75,9.0,Closed Balcony,Not Available,Not Renovated,96000.0,Kentron
Panel,No,Not Available,4,56.0,2.0,1.0,2.8,2.0,Closed Balcony,Partially Furnished,Old Renovation,81000.0,Shengavit
Panel,No,Available,9,42.0,2.0,1.0,2.75,6.0,Not Available,Available,Designer Renovated,135000.0,Kentron
Stone,No,Not Available,5,95.0,3.0,2.0,2.75,3.0,Not Available,Available,Capital Renovated,220000.0,Kentron
Monolith,Yes,Available,8,70.0,3.0,1.0,3.0,6.0,Not Available,Available,Capital Renovated,173000.0,Kentron
Monolith,Yes,Available,14,111.0,4.0,2.0,3.0,7.0,Multiple Balconies,Not Available,Not Renovated,185000.0,Arabkir
Stone,No,Not Available,6,55.0,2.0,1.0,3.2,5.0,Not Available,Available,Capital Renovated,97000.0,Arabkir
Stone,No,Not Available,5,80.0,3.0,2.0,2.8,1.0,Closed Balcony,Available,Euro Renovation,150000.0,Arabkir
Monolith,Yes,Available,9,87.0,3.0,1.0,3.0,3.0,Open Balcony,Not Available,Not Renovated,140000.0,Davtashen
Stone,No,Not Available,5,42.0,1.0,1.0,2.7,4.0,Closed Balcony,Not Available,Old Renovation,85000.0,Arabkir
Monolith,Yes,Available,16,76.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,199000.0,Arabkir
Monolith,Yes,Available,12,60.0,2.0,1.0,3.0,3.0,Closed Balcony,Available,Capital Renovated,133000.0,Arabkir
Panel,No,Available,14,92.0,3.0,1.0,2.8,13.0,Not Available,Partially Furnished,Capital Renovated,120000.0,Ajapnyak
Monolith,Yes,Available,15,109.0,3.0,2.0,3.0,2.0,Open Balcony,Available,Euro Renovation,225000.0,Qanaqer-Zeytun
