Building Type,New Building,Elevator,Number of Floors,Total Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Price,District
Panel,No,Available,9,66.0,2.0,1.0,2.8,3.0,Closed Balcony,Not Available,Cosmetic Renovation,105000.0,Arabkir
Panel,No,Available,9,86.0,3.0,1.0,2.75,9.0,Not Available,Not Available,Designer Renovated,150000.0,Arabkir
Stone,No,Not Available,5,69.0,3.0,1.0,2.7,5.0,Open Balcony,Partially Furnished,Designer Renovated,135000.0,Arabkir
Monolith,Yes,Available,6,64.0,2.0,1.0,2.8,6.0,Open Balcony,Available,Euro Renovation,170000.0,Erebuni
Monolith,Yes,Available,15,75.0,3.0,1.0,3.0,11.0,Not Available,Available,Designer Renovated,168500.0,Davtashen
Monolith,Yes,Available,12,74.0,2.0,1.0,3.0,11.0,Open Balcony,Available,Capital Renovated,142000.0,Davtashen
Monolith,Yes,Available,8,91.0,3.0,2.0,3.0,8.0,Open Balcony,Not Available,Not Renovated,165000.0,Arabkir
Stone,No,Not Available,5,116.0,4.0,1.0,2.8,1.0,Closed Balcony,Available,Capital Renovated,140000.0,Qanaqer-Zeytun
Stone,No,Not Available,4,68.0,3.0,2.0,3.0,3.0,Closed Balcony,Available,Old Renovation,157000.0,Arabkir
Monolith,Yes,Available,16,86.0,3.0,1.0,3.0,10.0,Open Balcony,Not Available,Not Renovated,158000.0,Qanaqer-Zeytun
Panel,No,Available,9,67.0,2.0,1.0,3.0,6.0,Closed Balcony,Available,Cosmetic Renovation,83000.0,Nor Norq
Stone,No,Available,14,80.0,3.0,1.0,2.7,13.0,Not Available,Partially Furnished,Capital Renovated,145000.0,Davtashen
Stone,No,Not Available,4,69.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,210000.0,Arabkir
Panel,No,Available,9,83.0,3.0,1.0,2.75,1.0,Closed Balcony,Available,Euro Renovation,153000.0,Davtashen
Monolith,Yes,Available,18,60.0,2.0,1.0,3.0,5.0,Open Balcony,Available,Capital Renovated,132000.0,Ajapnyak
Stone,No,Not Available,4,54.0,2.0,1.0,2.8,3.0,Not Available,Available,Cosmetic Renovation,82000.0,Qanaqer-Zeytun
Panel,No,Available,9,97.0,3.0,1.0,2.8,6.0,Closed Balcony,Not Available,Old Renovation,102000.0,Qanaqer-Zeytun
Panel,No,Available,9,105.0,4.0,1.0,2.75,9.0,Open Balcony,Available,Euro Renovation,110000.0,Ajapnyak
Panel,Yes,Available,12,85.0,3.0,1.0,2.8,5.0,Multiple Balconies,Available,Old Renovation,143000.0,Arabkir
Panel,No,Available,9,88.0,4.0,2.0,2.75,3.0,Closed Balcony,Not Available,Not Renovated,100000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,76.0,3.0,1.0,2.7,5.0,Multiple Balconies,Available,Cosmetic Renovation,95000.0,Avan
Panel,No,Available,9,51.0,2.0,1.0,2.8,2.0,Not Available,Available,Capital Renovated,105000.0,Kentron
Monolith,Yes,Available,15,106.0,3.0,1.0,3.0,10.0,Open Balcony,Available,Capital Renovated,265000.0,Qanaqer-Zeytun
Monolith,Yes,Available,14,68.0,3.0,1.0,3.0,4.0,Open Balcony,Available,Capital Renovated,135000.0,Davtashen
Monolith,Yes,Available,6,65.0,2.0,1.0,3.0,2.0,Not Available,Available,Not Renovated,137500.0,Arabkir
Monolith,Yes,Available,11,64.0,3.0,1.0,3.0,9.0,Not Available,Partially Furnished,Euro Renovation,88000.0,Davtashen
Monolith,Yes,Available,18,57.0,2.0,1.0,3.0,8.0,Open Balcony,Not Available,Not Renovated,110000.0,Arabkir
Panel,No,Available,9,51.0,2.0,1.0,2.8,4.0,Closed Balcony,Available,Cosmetic Renovation,108000.0,Kentron
Stone,No,Available,4,65.0,2.0,1.0,3.2,1.0,Not Available,Available,Capital Renovated,90909.09,Shengavit
Monolith,Yes,Available,16,73.0,3.0,2.0,3.0,8.0,Open Balcony,Not Available,Not Renovated,135000.0,Ajapnyak
Monolith,No,Available,14,85.0,4.0,1.0,2.75,7.0,Multiple Balconies,Available,Euro Renovation,125000.0,Malatia-Sebastia
Stone,No,Not Available,5,57.0,2.0,1.0,2.75,3.0,Closed Balcony,Available,Euro Renovation,110000.0,Arabkir
Stone,No,Not Available,5,47.0,2.0,1.0,2.75,3.0,Not Available,Available,Capital Renovated,97000.0,Qanaqer-Zeytun
Stone,No,Available,7,52.0,2.0,1.0,2.8,7.0,Closed Balcony,Not Available,Old Renovation,95000.0,Arabkir
Stone,No,Not Available,4,75.0,3.0,1.0,2.6,2.0,Open Balcony,Available,Capital Renovated,115000.0,Qanaqer-Zeytun
Monolith,Yes,Available,16,98.0,3.0,1.0,3.0,4.0,Multiple Balconies,Not Available,Not Renovated,147000.0,Qanaqer-Zeytun
Monolith,No,Available,16,50.0,2.0,1.0,2.8,2.0,Not Available,Partially Furnished,Capital Renovated,70909.09,Ajapnyak
Panel,No,Available,9,73.0,3.0,2.0,2.75,6.0,Closed Balcony,Partially Furnished,Partially Renovated,115000.0,Davtashen
Panel,No,Available,10,70.0,3.0,1.0,2.8,7.0,Not Available,Available,Designer Renovated,180000.0,Kentron
Stone,No,Not Available,4,52.0,3.0,1.0,2.7,4.0,Closed Balcony,Available,Cosmetic Renovation,92000.0,Arabkir
Stone,No,Not Available,5,72.0,3.0,1.0,2.8,3.0,Open Balcony,Available,Capital Renovated,179000.0,Arabkir
Panel,No,Available,10,67.0,2.0,1.0,2.8,9.0,Not Available,Available,Euro Renovation,135000.0,Arabkir
Monolith,Yes,Available,16,71.0,3.0,1.0,3.0,14.0,Open Balcony,Not Available,Not Renovated,130000.0,Ajapnyak
Stone,No,Not Available,5,92.0,4.0,1.0,2.75,1.0,Multiple Balconies,Partially Furnished,Cosmetic Renovation,115000.0,Ajapnyak
Monolith,Yes,Available,16,125.0,4.0,2.0,3.0,2.0,Multiple Balconies,Available,Euro Renovation,255000.0,Arabkir
Stone,No,Not Available,4,90.0,3.0,1.0,2.7,2.0,Open Balcony,Partially Furnished,Capital Renovated,147000.0,Nor Norq
Panel,No,Available,9,101.0,4.0,2.0,2.8,1.0,Not Available,Not Available,Euro Renovation,125000.0,Qanaqer-Zeytun
Panel,No,Available,9,67.0,2.0,1.0,2.7,6.0,Closed Balcony,Available,Old Renovation,68000.0,Nor Norq
Monolith,Yes,Available,15,98.0,3.0,2.0,3.0,10.0,Multiple Balconies,Available,Euro Renovation,215000.0,Qanaqer-Zeytun
Panel,No,Available,14,83.0,3.0,1.0,2.8,3.0,Not Available,Available,Euro Renovation,134900.0,Arabkir
Panel,No,Available,9,74.0,3.0,1.0,2.8,2.0,Closed Balcony,Available,Old Renovation,77922.08,Shengavit
Monolith,Yes,Available,15,72.0,2.0,1.0,3.0,10.0,Open Balcony,Available,Capital Renovated,168000.0,Davtashen
Stone,No,Not Available,4,51.0,1.0,1.0,2.8,3.0,Closed Balcony,Not Available,Cosmetic Renovation,81000.0,Shengavit
Stone,No,Not Available,5,32.0,2.0,1.0,2.8,3.0,Open Balcony,Available,Designer Renovated,80000.0,Erebuni
Stone,No,Not Available,5,54.0,2.0,1.0,2.75,4.0,Multiple Balconies,Not Available,Cosmetic Renovation,92000.0,Arabkir
Monolith,Yes,Available,18,68.0,2.0,1.0,3.0,5.0,Open Balcony,Available,Designer Renovated,190000.0,Qanaqer-Zeytun
Panel,No,Available,16,100.0,4.0,1.0,2.75,6.0,Not Available,Partially Furnished,Cosmetic Renovation,95000.0,Ajapnyak
Stone,No,Not Available,5,36.0,2.0,1.0,3.0,2.0,Not Available,Available,Capital Renovated,140000.0,Kentron
Stone,No,Not Available,4,71.0,3.0,1.0,2.5,4.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,90000.0,Ajapnyak
Panel,No,Available,9,93.0,4.0,1.0,2.8,5.0,Closed Balcony,Available,Cosmetic Renovation,120000.0,Davtashen
Panel,No,Available,9,48.0,2.0,1.0,2.7,4.0,Not Available,Partially Furnished,Partially Renovated,65000.0,Erebuni
Stone,No,Not Available,4,55.0,2.0,1.0,2.7,3.0,Not Available,Available,Capital Renovated,112500.0,Qanaqer-Zeytun
Stone,No,Not Available,6,55.0,2.0,1.0,2.7,2.0,Closed Balcony,Partially Furnished,Capital Renovated,82500.0,Avan
Monolith,Yes,Available,7,43.0,2.0,1.0,3.0,6.0,Multiple Balconies,Available,Designer Renovated,159000.0,Arabkir
Panel,No,Available,9,65.0,3.0,1.0,2.8,9.0,Closed Balcony,Available,Partially Renovated,78000.0,Qanaqer-Zeytun
Panel,No,Available,10,100.0,3.0,1.0,2.8,5.0,Open Balcony,Available,Old Renovation,135000.0,Kentron
Stone,No,Not Available,5,82.0,3.0,1.0,2.8,4.0,Multiple Balconies,Available,Partially Renovated,128000.0,Arabkir
Stone,No,Not Available,5,69.0,3.0,1.0,2.8,2.0,Closed Balcony,Available,Capital Renovated,120000.0,Qanaqer-Zeytun
Panel,No,Available,9,87.0,3.0,1.0,2.7,7.0,Open Balcony,Partially Furnished,Capital Renovated,120000.0,Ajapnyak
Monolith,Yes,Available,15,69.0,3.0,1.0,3.0,4.0,Open Balcony,Not Available,Capital Renovated,183600.0,Qanaqer-Zeytun
Panel,No,Available,11,69.0,2.0,2.0,2.75,3.0,Multiple Balconies,Partially Furnished,Capital Renovated,248500.0,Kentron
Stone,No,Not Available,5,62.0,3.0,1.0,2.75,4.0,Open Balcony,Not Available,Capital Renovated,118000.0,Arabkir
Stone,No,Not Available,5,92.0,3.0,1.0,2.8,5.0,Closed Balcony,Available,Capital Renovated,255000.0,Kentron
Stone,No,Available,10,56.0,3.0,1.0,3.0,9.0,Not Available,Not Available,Designer Renovated,95000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,90.0,3.0,1.0,2.75,3.0,Open Balcony,Available,Capital Renovated,204000.0,Qanaqer-Zeytun
Monolith,Yes,Available,18,93.0,3.0,2.0,3.0,3.0,Open Balcony,Available,Capital Renovated,205000.0,Davtashen
Panel,No,Available,9,66.0,3.0,1.0,2.8,4.0,Not Available,Available,Euro Renovation,90909.09,Qanaqer-Zeytun
Stone,No,Not Available,5,88.0,3.0,1.0,3.0,4.0,Not Available,Available,Capital Renovated,250000.0,Arabkir
Panel,No,Available,9,47.0,1.0,1.0,2.75,6.0,Closed Balcony,Partially Furnished,Euro Renovation,70000.0,Malatia-Sebastia
Panel,No,Available,16,78.0,3.0,2.0,2.75,6.0,Not Available,Partially Furnished,Euro Renovation,115000.0,Ajapnyak
Monolith,Yes,Available,16,52.0,2.0,1.0,3.0,2.0,Open Balcony,Available,Capital Renovated,168000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,58.0,2.0,1.0,2.8,3.0,Not Available,Not Available,Cosmetic Renovation,87000.0,Kentron
Monolith,Yes,Available,14,62.0,2.0,1.0,3.0,4.0,Not Available,Available,Euro Renovation,200000.0,Kentron
Stone,No,Not Available,4,36.0,2.0,1.0,3.0,3.0,Not Available,Partially Furnished,Designer Renovated,92000.0,Shengavit
Panel,No,Not Available,4,55.0,2.0,1.0,2.6,1.0,Closed Balcony,Available,Capital Renovated,70000.0,Shengavit
Panel,No,Available,9,97.0,3.0,1.0,2.8,4.0,Multiple Balconies,Partially Furnished,Old Renovation,155000.0,Kentron
Stone,No,Not Available,4,67.0,2.0,2.0,3.0,3.0,Closed Balcony,Available,Euro Renovation,115000.0,Arabkir
Monolith,Yes,Available,10,92.0,3.0,1.0,2.6,3.0,Open Balcony,Partially Furnished,Cosmetic Renovation,183000.0,Arabkir
Stone,No,Not Available,5,85.0,3.0,1.0,2.75,5.0,Closed Balcony,Available,Capital Renovated,100000.0,Malatia-Sebastia
Monolith,Yes,Available,10,75.0,2.0,1.0,3.0,5.0,Not Available,Available,Capital Renovated,145000.0,Arabkir
Stone,No,Not Available,5,108.0,3.0,1.0,2.8,1.0,Not Available,Available,Euro Renovation,205000.0,Arabkir
Monolith,Yes,Available,16,50.0,2.0,1.0,3.0,15.0,Not Available,Not Available,Not Renovated,98701.3,Qanaqer-Zeytun
Panel,No,Available,9,80.0,3.0,2.0,2.75,6.0,Multiple Balconies,Partially Furnished,Euro Renovation,107000.0,Malatia-Sebastia
Panel,No,Available,9,83.0,3.0,1.0,2.8,2.0,Multiple Balconies,Partially Furnished,Cosmetic Renovation,85000.0,Erebuni
Monolith,Yes,Available,18,109.0,4.0,2.0,3.0,9.0,Open Balcony,Not Available,Not Renovated,265000.0,Kentron
Stone,No,Available,7,47.0,2.0,1.0,2.75,5.0,Closed Balcony,Available,Euro Renovation,97000.0,Kentron
Panel,No,Available,9,40.0,1.0,1.0,2.8,8.0,Not Available,Partially Furnished,Cosmetic Renovation,71500.0,Kentron
Panel,No,Available,9,80.0,3.0,2.0,2.75,3.0,Closed Balcony,Partially Furnished,Euro Renovation,96000.0,Malatia-Sebastia
Monolith,Yes,Available,16,74.0,2.0,1.0,3.2,3.0,Open Balcony,Available,Capital Renovated,230000.0,Arabkir
Panel,No,Available,9,88.0,4.0,1.0,2.8,6.0,Open Balcony,Partially Furnished,Euro Renovation,117000.0,Malatia-Sebastia
Stone,No,Available,9,72.0,3.0,1.0,2.8,9.0,Open Balcony,Partially Furnished,Euro Renovation,225000.0,Kentron
Stone,No,Not Available,5,35.0,1.0,1.0,3.0,2.0,Open Balcony,Not Available,Old Renovation,77000.0,Arabkir
Stone,No,Not Available,5,45.0,2.0,1.0,2.7,5.0,Not Available,Available,Cosmetic Renovation,80000.0,Arabkir
Stone,No,Not Available,5,110.0,4.0,1.0,3.2,1.0,Not Available,Available,Capital Renovated,150000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,55.0,2.0,1.0,2.6,4.0,Closed Balcony,Not Available,Old Renovation,75000.0,Ajapnyak
Panel,No,Available,10,65.0,2.0,1.0,2.8,2.0,Multiple Balconies,Available,Old Renovation,72000.0,Shengavit
Monolith,Yes,Available,11,90.0,3.0,2.0,3.0,9.0,Not Available,Partially Furnished,Euro Renovation,155000.0,Arabkir
Panel,No,Available,11,42.0,2.0,1.0,2.75,7.0,Open Balcony,Available,Cosmetic Renovation,138000.0,Kentron
Monolith,Yes,Available,14,81.0,3.0,1.0,3.0,9.0,Open Balcony,Not Available,Euro Renovation,280000.0,Arabkir
Monolith,No,Available,16,51.0,3.0,1.0,2.75,15.0,Not Available,Available,Euro Renovation,127000.0,Kentron
Monolith,Yes,Available,16,56.0,2.0,1.0,3.0,11.0,Open Balcony,Available,Designer Renovated,127000.0,Arabkir
Panel,No,Available,9,70.0,3.0,1.0,2.75,6.0,Not Available,Available,Capital Renovated,150000.0,Kentron
Monolith,No,Available,9,90.0,3.0,1.0,2.75,6.0,Closed Balcony,Not Available,Old Renovation,138000.0,Arabkir
Monolith,Yes,Available,20,70.0,3.0,1.0,2.8,11.0,Open Balcony,Available,Euro Renovation,152000.0,Arabkir
Stone,No,Not Available,5,102.0,4.0,1.0,2.7,4.0,Open Balcony,Available,Cosmetic Renovation,119000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,101.0,4.0,2.0,3.0,1.0,Closed Balcony,Not Available,Designer Renovated,230000.0,Qanaqer-Zeytun
Panel,No,Available,9,92.0,4.0,1.0,3.2,2.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,105000.0,Nor Norq
Stone,No,Not Available,5,61.0,2.0,1.0,3.0,5.0,Closed Balcony,Partially Furnished,Partially Renovated,110000.0,Shengavit
Panel,No,Available,12,74.0,2.0,1.0,2.75,9.0,Multiple Balconies,Available,Old Renovation,165000.0,Kentron
Panel,No,Available,14,106.0,4.0,1.0,2.75,7.0,Open Balcony,Available,Old Renovation,135000.0,Arabkir
Stone,No,Not Available,5,130.0,3.0,2.0,3.0,4.0,Open Balcony,Not Available,Old Renovation,141000.0,Kentron
Panel,No,Available,10,70.0,3.0,1.0,2.8,4.0,Not Available,Available,Capital Renovated,110000.0,Malatia-Sebastia
Panel,No,Available,12,74.0,2.0,1.0,2.8,7.0,Closed Balcony,Available,Old Renovation,93000.0,Davtashen
Stone,No,Not Available,5,98.0,3.0,1.0,2.8,2.0,Closed Balcony,Available,Designer Renovated,155000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,46.0,2.0,1.0,2.75,5.0,Not Available,Available,Cosmetic Renovation,70129.87,Nor Norq
Panel,No,Available,9,48.0,1.0,1.0,2.75,3.0,Closed Balcony,Available,Capital Renovated,87000.0,Malatia-Sebastia
Panel,No,Available,9,73.0,3.0,1.0,2.8,4.0,Open Balcony,Not Available,Old Renovation,90000.0,Davtashen
Monolith,Yes,Available,14,62.0,2.0,1.0,2.7,7.0,Not Available,Available,Euro Renovation,150000.0,Arabkir
Stone,No,Not Available,3,82.0,3.0,1.0,3.0,1.0,Not Available,Available,Cosmetic Renovation,130000.0,Erebuni
Stone,No,Not Available,3,85.0,3.0,1.0,3.5,2.0,Open Balcony,Not Available,Cosmetic Renovation,180000.0,Arabkir
Panel,No,Available,14,78.0,3.0,1.0,2.75,3.0,Closed Balcony,Partially Furnished,Old Renovation,120000.0,Davtashen
Panel,No,Available,10,93.0,3.0,1.0,2.75,6.0,Open Balcony,Available,Old Renovation,250000.0,Kentron
Monolith,Yes,Available,16,69.0,3.0,1.0,3.0,11.0,Open Balcony,Not Available,Not Renovated,117000.0,Ajapnyak
Panel,No,Available,9,42.0,2.0,1.0,2.8,8.0,Not Available,Not Available,Capital Renovated,77500.0,Qanaqer-Zeytun
Stone,Yes,Not Available,5,45.0,2.0,1.0,2.75,4.0,Closed Balcony,Available,Cosmetic Renovation,85000.0,Arabkir
Monolith,Yes,Available,14,76.0,3.0,1.0,3.0,7.0,Open Balcony,Available,Capital Renovated,200000.0,Arabkir
Stone,No,Available,9,67.0,2.0,1.0,2.8,5.0,Closed Balcony,Not Available,Old Renovation,115000.0,Arabkir
Panel,No,Available,10,80.0,2.0,1.0,2.8,10.0,Closed Balcony,Available,Designer Renovated,205000.0,Kentron
Panel,No,Available,9,66.0,2.0,1.0,2.75,1.0,Not Available,Available,Designer Renovated,119000.0,Arabkir
Monolith,Yes,Available,13,78.0,3.0,1.0,3.0,11.0,Open Balcony,Not Available,Not Renovated,129350.65,Arabkir
Monolith,Yes,Available,10,120.0,4.0,2.0,3.0,9.0,Multiple Balconies,Available,Capital Renovated,270000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,80.0,3.0,1.0,2.7,1.0,Closed Balcony,Available,Partially Renovated,117000.0,Arabkir
Panel,No,Not Available,4,41.0,2.0,1.0,2.6,4.0,Closed Balcony,Available,Capital Renovated,61500.0,Shengavit
Stone,No,Not Available,5,72.0,2.0,1.0,3.2,4.0,Closed Balcony,Available,Capital Renovated,180000.0,Arabkir
Panel,No,Available,9,73.0,3.0,1.0,2.7,2.0,Not Available,Not Available,Cosmetic Renovation,85000.0,Malatia-Sebastia
Monolith,Yes,Not Available,4,46.0,2.0,1.0,3.0,4.0,Not Available,Available,Capital Renovated,102000.0,Davtashen
Panel,No,Not Available,4,73.0,3.0,1.0,2.7,4.0,Open Balcony,Not Available,Partially Renovated,81600.0,Qanaqer-Zeytun
Stone,No,Not Available,5,50.0,2.0,1.0,3.5,5.0,Closed Balcony,Available,Euro Renovation,76500.0,Arabkir
Stone,No,Available,9,43.0,2.0,1.0,2.8,9.0,Open Balcony,Not Available,Partially Renovated,88000.0,Arabkir
Panel,No,Available,14,74.0,2.0,1.0,2.7,2.0,Open Balcony,Not Available,Old Renovation,109000.0,Arabkir
Panel,No,Not Available,5,50.0,2.0,1.0,2.6,2.0,Not Available,Partially Furnished,Cosmetic Renovation,78000.0,Nor Norq
Monolith,Yes,Available,12,46.0,2.0,1.0,3.0,5.0,Closed Balcony,Available,Capital Renovated,93000.0,Ajapnyak
Stone,No,Not Available,5,60.0,2.0,1.0,2.8,2.0,Closed Balcony,Available,Designer Renovated,263000.0,Kentron
Stone,No,Not Available,5,92.0,4.0,1.0,2.75,5.0,Multiple Balconies,Partially Furnished,Partially Renovated,112500.0,Qanaqer-Zeytun
Panel,No,Available,9,100.0,4.0,2.0,2.75,6.0,Closed Balcony,Partially Furnished,Partially Renovated,125000.0,Malatia-Sebastia
Panel,No,Available,9,41.0,1.0,1.0,2.8,3.0,Not Available,Available,Capital Renovated,115000.0,Kentron
Monolith,No,Available,11,82.0,3.0,1.0,2.8,11.0,Open Balcony,Available,Euro Renovation,205000.0,Kentron
Panel,No,Available,9,78.0,3.0,1.0,2.8,6.0,Open Balcony,Available,Capital Renovated,150000.0,Arabkir
Stone,No,Not Available,4,68.0,3.0,1.0,2.8,3.0,Multiple Balconies,Available,Cosmetic Renovation,83000.0,Shengavit
Monolith,Yes,Available,17,68.0,2.0,1.0,3.0,15.0,Multiple Balconies,Not Available,Not Renovated,165000.0,Kentron
Monolith,Yes,Available,12,72.0,3.0,1.0,3.5,1.0,Not Available,Available,Capital Renovated,143000.0,Davtashen
Stone,No,Not Available,5,80.0,3.0,1.0,2.8,4.0,Open Balcony,Available,Cosmetic Renovation,113000.0,Arabkir
Stone,No,Not Available,5,36.0,2.0,1.0,3.0,4.0,Open Balcony,Partially Furnished,Designer Renovated,110000.0,Arabkir
Stone,No,Not Available,5,94.0,4.0,1.0,3.2,2.0,Multiple Balconies,Not Available,Partially Renovated,133000.0,Qanaqer-Zeytun
Monolith,Yes,Available,14,107.0,4.0,1.0,3.0,3.0,Multiple Balconies,Not Available,Not Renovated,230000.0,Qanaqer-Zeytun
Monolith,No,Available,14,90.0,3.0,2.0,2.75,12.0,Multiple Balconies,Partially Furnished,Partially Renovated,84000.0,Malatia-Sebastia
Monolith,Yes,Available,7,73.0,3.0,1.0,2.8,5.0,Multiple Balconies,Not Available,Not Renovated,145000.0,Ajapnyak
Panel,No,Not Available,5,73.0,3.0,1.0,2.75,4.0,Multiple Balconies,Not Available,Old Renovation,81000.0,Ajapnyak
Panel,No,Available,9,77.0,3.0,1.0,2.75,9.0,Closed Balcony,Available,Old Renovation,109000.0,Qanaqer-Zeytun
Monolith,Yes,Available,10,97.0,3.0,1.0,3.0,8.0,Multiple Balconies,Available,Capital Renovated,120000.0,Davtashen
Panel,No,Not Available,12,78.0,3.0,2.0,3.0,3.0,Closed Balcony,Available,Old Renovation,107000.0,Qanaqer-Zeytun
Stone,No,Not Available,4,77.0,3.0,1.0,3.2,4.0,Open Balcony,Partially Furnished,Capital Renovated,149990.0,Erebuni
Stone,No,Available,7,73.0,3.0,1.0,2.8,6.0,Not Available,Available,Old Renovation,116500.0,Arabkir
Panel,No,Not Available,4,54.0,2.0,1.0,2.6,3.0,Not Available,Partially Furnished,Cosmetic Renovation,71500.0,Qanaqer-Zeytun
Monolith,Yes,Available,18,110.0,4.0,2.0,3.0,12.0,Open Balcony,Not Available,Not Renovated,255000.0,Kentron
Panel,No,Available,12,61.0,3.0,1.0,2.75,5.0,Not Available,Available,Capital Renovated,95000.0,Nor Norq
Monolith,Yes,Available,12,67.0,2.0,1.0,3.0,10.0,Open Balcony,Not Available,Designer Renovated,157000.0,Arabkir
Stone,No,Not Available,5,74.0,2.0,1.0,2.75,5.0,Not Available,Available,Capital Renovated,115000.0,Kentron
Panel,No,Available,12,74.0,3.0,1.0,2.7,7.0,Not Available,Not Available,Old Renovation,92000.0,Qanaqer-Zeytun
Stone,No,Available,6,41.0,2.0,1.0,3.2,6.0,Open Balcony,Not Available,Cosmetic Renovation,95000.0,Arabkir
Monolith,Yes,Available,13,69.0,2.0,1.0,3.0,13.0,Open Balcony,Not Available,Not Renovated,130000.0,Ajapnyak
Stone,No,Not Available,5,98.0,4.0,1.0,2.8,1.0,Multiple Balconies,Partially Furnished,Capital Renovated,125000.0,Ajapnyak
Stone,No,Not Available,5,57.0,2.0,1.0,2.7,3.0,Closed Balcony,Partially Furnished,Euro Renovation,120000.0,Kentron
Stone,No,Not Available,5,100.0,4.0,2.0,2.7,1.0,Not Available,Not Available,Old Renovation,95000.0,Arabkir
Monolith,Yes,Available,17,104.0,4.0,2.0,3.0,8.0,Open Balcony,Not Available,Partially Renovated,165000.0,Davtashen
Stone,No,Not Available,4,74.0,2.0,1.0,3.2,2.0,Multiple Balconies,Available,Capital Renovated,249000.0,Kentron
Stone,No,Not Available,5,65.0,2.0,1.0,2.7,3.0,Closed Balcony,Available,Designer Renovated,85000.0,Qanaqer-Zeytun
Panel,No,Available,9,92.0,3.0,1.0,2.75,1.0,Closed Balcony,Partially Furnished,Capital Renovated,120000.0,Davtashen
Panel,No,Available,9,60.0,2.0,1.0,2.75,5.0,Open Balcony,Available,Capital Renovated,100000.0,Davtashen
Stone,No,Not Available,5,70.0,3.0,1.0,3.0,5.0,Not Available,Available,Cosmetic Renovation,109000.0,Arabkir
Stone,No,Not Available,5,68.0,3.0,1.0,2.8,5.0,Not Available,Partially Furnished,Euro Renovation,82000.0,Qanaqer-Zeytun
Monolith,Yes,Available,15,61.0,2.0,1.0,3.0,7.0,Open Balcony,Available,Capital Renovated,139000.0,Arabkir
Stone,No,Not Available,4,84.0,3.0,1.0,3.5,4.0,Open Balcony,Available,Partially Renovated,250000.0,Kentron
Monolith,Yes,Available,14,60.0,2.0,1.0,3.0,5.0,Open Balcony,Available,Designer Renovated,235000.0,Kentron
Panel,No,Available,9,67.0,2.0,2.0,2.75,9.0,Closed Balcony,Partially Furnished,Partially Renovated,94000.0,Qanaqer-Zeytun
Monolith,Yes,Available,15,107.0,3.0,2.0,3.0,12.0,Multiple Balconies,Partially Furnished,Capital Renovated,255000.0,Qanaqer-Zeytun
Panel,No,Available,16,93.0,4.0,1.0,2.8,11.0,Closed Balcony,Available,Partially Renovated,102000.0,Davtashen
Stone,No,Not Available,5,36.0,1.0,1.0,2.7,4.0,Open Balcony,Partially Furnished,Capital Renovated,60000.0,Shengavit
Panel,No,Available,9,100.0,4.0,1.0,2.75,8.0,Closed Balcony,Partially Furnished,Euro Renovation,120000.0,Malatia-Sebastia
Monolith,Yes,Available,16,104.0,3.0,2.0,3.0,8.0,Multiple Balconies,Not Available,Not Renovated,180000.0,Qanaqer-Zeytun
Monolith,Yes,Available,8,87.0,3.0,1.0,3.0,6.0,Open Balcony,Not Available,Not Renovated,171428.57,Arabkir
Stone,No,Not Available,6,100.0,3.0,1.0,2.7,6.0,Not Available,Available,Partially Renovated,75000.0,Arabkir
Monolith,Yes,Available,9,55.0,2.0,1.0,3.0,9.0,Open Balcony,Not Available,Not Renovated,70000.0,Nor Norq
Stone,No,Not Available,5,62.0,2.0,2.0,3.2,3.0,Open Balcony,Available,Old Renovation,108000.0,Arabkir
Panel,No,Available,10,45.0,2.0,1.0,2.75,8.0,Open Balcony,Partially Furnished,Euro Renovation,63000.0,Shengavit
Stone,No,Not Available,6,89.0,4.0,1.0,2.8,1.0,Not Available,Available,Old Renovation,150000.0,Arabkir
Panel,No,Available,9,73.0,3.0,1.0,2.7,7.0,Closed Balcony,Not Available,Old Renovation,95000.0,Ajapnyak
Panel,No,Available,9,85.0,3.0,2.0,2.75,4.0,Multiple Balconies,Available,Euro Renovation,107000.0,Malatia-Sebastia
Monolith,Yes,Available,18,60.0,2.0,1.0,3.0,15.0,Open Balcony,Not Available,Not Renovated,150000.0,Kentron
Panel,No,Available,9,74.0,3.0,1.0,2.75,1.0,Closed Balcony,Available,Capital Renovated,72000.0,Nor Norq
Stone,No,Not Available,5,71.0,3.0,1.0,2.8,5.0,Multiple Balconies,Available,Euro Renovation,150000.0,Arabkir
Panel,No,Available,11,90.0,3.0,1.0,3.0,1.0,Closed Balcony,Available,Capital Renovated,157000.0,Arabkir
Panel,No,Available,14,89.0,3.0,1.0,3.0,14.0,Not Available,Partially Furnished,Capital Renovated,150000.0,Davtashen
Stone,No,Not Available,5,67.0,2.0,1.0,2.8,2.0,Open Balcony,Available,Old Renovation,135000.0,Arabkir
